id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review_clean,reviews_per_month_clean,calculated_host_listings_count,availability_365,price_category,stay_category,availability_category,review_activity_category,host_scale_category,review_recency,days_since_last_review,estimated_annual_revenue,review_efficiency,host_business_scale,performance_tier,market_position,estimated_occupancy_rate
10608951,BedStuy Parlor near A&J Trains JFK,43816209,Shawn,Brooklyn,Bedford-Stuyvesant,"40,68616","-73,92514",Private room,45,4,30,29/06/2019,"0,77",1,286,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Low Activity (≤1/month),Single Property,Sangat Lama (>1 tahun),2228,12870,"0,1049",Single Property Host,Average Performer,Budget Struggling,"45,2"
15336596,Private bedroom in artsy NYC apartment.,77010815,Eean,Bronx,Norwood,"40,8722","-73,87607",Private room,50,3,22,02/06/2019,"0,76",1,342,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Low Activity (≤1/month),Single Property,Sangat Lama (>1 tahun),2255,17100,"0,0643",Single Property Host,Average Performer,Budget Struggling,"17,8"
391948,Single Room,1960128,Luana,Queens,Ozone Park,"40,68581","-73,84642",Shared room,45,1,8,30/09/2015,"0,11",2,364,Budget (≤$50),Short Stay (1 night),High Availability (>180 days),Low Activity (≤1/month),Small Scale (2-5),Sangat Lama (>1 tahun),3596,16380,"0,022",Small Scale Host (2-5),Average Performer,Budget Struggling,"17,8"
63546,Large and Cozy Private Bedroom,308652,Antonín,Brooklyn,Kensington,"40,64106","-73,97426",Private room,39,1,45,16/05/2019,"0,46",2,365,Budget (≤$50),Short Stay (1 night),High Availability (>180 days),Low Activity (≤1/month),Small Scale (2-5),Sangat Lama (>1 tahun),2272,14235,"0,1233",Small Scale Host (2-5),Average Performer,Budget Struggling,"17,8"
36204696,Perfect room in Brooklyn,263282580,Caritas,Brooklyn,Bedford-Stuyvesant,"40,69567","-73,93431",Private room,45,1,1,01/07/2019,1,2,362,Budget (≤$50),Short Stay (1 night),High Availability (>180 days),Low Activity (≤1/month),Small Scale (2-5),Sangat Lama (>1 tahun),2226,16290,"0,0028",Small Scale Host (2-5),Good Performer,Budget Popular,"17,8"
668691,Comfy room in beautiful apartment,3363720,Kate,Brooklyn,Bushwick,"40,68888","-73,91911",Private room,45,5,69,25/05/2019,"0,89",3,223,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Low Activity (≤1/month),Small Scale (2-5),Sangat Lama (>1 tahun),2263,10035,"0,3094",Small Scale Host (2-5),Average Performer,Budget Struggling,"45,2"
3835633,The Emerald Room,19708200,Larry,Brooklyn,Canarsie,"40,63888","-73,91729",Private room,45,3,23,23/06/2019,"0,39",3,327,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Low Activity (≤1/month),Small Scale (2-5),Sangat Lama (>1 tahun),2234,14715,"0,0703",Small Scale Host (2-5),Average Performer,Budget Struggling,"17,8"
8287001,Cozy skylight room in Victorian Town House,14796247,Sandra And Cary,Brooklyn,Flatbush,"40,6419","-73,96421",Private room,41,7,16,04/04/2019,"0,35",4,292,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Low Activity (≤1/month),Small Scale (2-5),Sangat Lama (>1 tahun),2314,11972,"0,0548",Small Scale Host (2-5),Average Performer,Budget Struggling,"45,2"
16300101,Warm design for a classic Brooklyn townhouse,27977412,Daria,Brooklyn,East Flatbush,"40,64538","-73,94863",Shared room,36,30,2,18/12/2017,"0,07",4,365,Budget (≤$50),Monthly Stay (8-30 nights),High Availability (>180 days),Low Activity (≤1/month),Small Scale (2-5),Sangat Lama (>1 tahun),2786,13140,"0,0055",Small Scale Host (2-5),Average Performer,Budget Struggling,"17,8"
28043195,J- HOTEL STYLE SHARE ROOM FOR 2PPL FREE CABLE WIFI,8814258,Nikole,Queens,South Ozone Park,"40,67324","-73,7957",Shared room,34,5,2,23/02/2019,"0,23",7,365,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Low Activity (≤1/month),Medium Scale (6-20),Sangat Lama (>1 tahun),2354,12410,"0,0055",Medium Scale Host (6-20),Average Performer,Budget Struggling,"17,8"
4264049,Location Little Marcela,3250450,Petya,Queens,Astoria,"40,76496","-73,91169",Private room,39,31,5,26/01/2018,"0,1",18,310,Budget (≤$50),Long Stay (>30 nights),High Availability (>180 days),Low Activity (≤1/month),Medium Scale (6-20),Sangat Lama (>1 tahun),2747,12090,"0,0161",Medium Scale Host (6-20),Average Performer,Budget Struggling,"17,8"
26140709,Workspace Room 3 - 2,9864136,Anthony,Brooklyn,Bushwick,"40,68644","-73,91554",Private room,36,2,1,10/08/2018,"0,09",26,302,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Low Activity (≤1/month),Large Scale (>20),Sangat Lama (>1 tahun),2551,10872,"0,0033",Large Scale Host (>20),Average Performer,Budget Struggling,"17,8"
29778309,Spice Island Hotspot,224042160,Pettrina,Brooklyn,East Flatbush,"40,65046","-73,95067",Private room,38,2,11,30/06/2019,"1,51",3,365,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Medium Activity (1-3/month),Small Scale (2-5),Sangat Lama (>1 tahun),2227,13870,"0,0301",Small Scale Host (2-5),Good Performer,Budget Popular,"17,8"
2431607,"Bright, Airy Room Share for 2",4973668,Gloria,Brooklyn,Bedford-Stuyvesant,"40,68642","-73,9344",Shared room,25,5,76,06/06/2019,"1,22",3,258,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Medium Activity (1-3/month),Small Scale (2-5),Sangat Lama (>1 tahun),2251,6450,"0,2946",Small Scale Host (2-5),Good Performer,Budget Popular,"45,2"
31341166,"Stay like a NYker - Cheap, clean and close to All",137501374,LKL Rental,Queens,Elmhurst,"40,74057","-73,86975",Private room,25,1,17,20/06/2019,"2,79",3,231,Budget (≤$50),Short Stay (1 night),High Availability (>180 days),Medium Activity (1-3/month),Small Scale (2-5),Sangat Lama (>1 tahun),2237,5775,"0,0736",Small Scale Host (2-5),High Performer,Budget Popular,"45,2"
13058423,Charming 1 br - most perfect block!,26535250,Sheila,Brooklyn,Windsor Terrace,"40,65841","-73,97753",Entire home/apt,50,1,74,01/06/2019,"2,03",3,236,Budget (≤$50),Short Stay (1 night),High Availability (>180 days),Medium Activity (1-3/month),Small Scale (2-5),Sangat Lama (>1 tahun),2256,11800,"0,3136",Small Scale Host (2-5),High Performer,Budget Popular,"45,2"
15839085,"Double bed, Modern Skylight Room Near Train",102482048,Susy,Brooklyn,Bushwick,"40,68315","-73,90908",Private room,35,2,44,10/03/2019,"1,41",4,325,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Medium Activity (1-3/month),Small Scale (2-5),Sangat Lama (>1 tahun),2339,11375,"0,1354",Small Scale Host (2-5),Good Performer,Budget Popular,"17,8"
3400359,Awesome Deal NYC,16286162,Pat,Bronx,Allerton,"40,86677","-73,85938",Private room,49,2,114,29/06/2019,"1,87",4,240,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Medium Activity (1-3/month),Small Scale (2-5),Sangat Lama (>1 tahun),2228,11760,"0,475",Small Scale Host (2-5),Good Performer,Budget Popular,"45,2"
1979744,Bright & Budget Friendly,9522524,Nancy,Brooklyn,Canarsie,"40,64605","-73,89382",Private room,33,5,84,27/06/2019,"1,25",5,295,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Medium Activity (1-3/month),Small Scale (2-5),Sangat Lama (>1 tahun),2230,9735,"0,2847",Small Scale Host (2-5),Good Performer,Budget Popular,"45,2"
12711153,Comfortable Private Room w/ 1 Full Bed,65809485,Shirley,Queens,Flushing,"40,74903","-73,82938",Private room,40,14,107,03/06/2019,"2,75",12,323,Budget (≤$50),Monthly Stay (8-30 nights),High Availability (>180 days),Medium Activity (1-3/month),Medium Scale (6-20),Sangat Lama (>1 tahun),2254,12920,"0,3313",Medium Scale Host (6-20),High Performer,Budget Popular,"17,8"
28608251,Bedroom 7 Bed C,119669058,Melissa,Brooklyn,Bedford-Stuyvesant,"40,69232","-73,95654",Shared room,39,3,13,09/06/2019,"1,36",34,359,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Medium Activity (1-3/month),Large Scale (>20),Sangat Lama (>1 tahun),2248,14001,"0,0362",Large Scale Host (>20),Good Performer,Budget Popular,"17,8"
34844630,Beautiful apartment in Gravesend(Girls share room),261338177,Diana,Brooklyn,Gravesend,"40,58941","-73,97116",Shared room,25,7,0,,0,6,321,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),No Reviews,Medium Scale (6-20),Tidak Ada Review,,8025,0,Medium Scale Host (6-20),Low Performer,Budget Struggling,"17,8"
36317097,"Clinton Hill Oasis, Next To Subway/Citibike,",21261408,Jay,Brooklyn,Clinton Hill,"40,68971","-73,96073",Shared room,35,1,0,,0,6,345,Budget (≤$50),Short Stay (1 night),High Availability (>180 days),No Reviews,Medium Scale (6-20),Tidak Ada Review,,12075,0,Medium Scale Host (6-20),Low Performer,Budget Struggling,"17,8"
35669345,"Spacious shared room in modern Bed-Stuy/ M,J,Z,G",159811367,Sergii,Brooklyn,Bedford-Stuyvesant,"40,69485","-73,94005",Shared room,34,30,0,,0,10,341,Budget (≤$50),Monthly Stay (8-30 nights),High Availability (>180 days),No Reviews,Medium Scale (6-20),Tidak Ada Review,,11594,0,Medium Scale Host (6-20),Low Performer,Budget Struggling,"17,8"
30443067,Beautiful Bedroom in Stuyvesant Madison 2R-3,226410657,Nina,Brooklyn,Bedford-Stuyvesant,"40,68737","-73,93132",Private room,42,30,0,,0,27,343,Budget (≤$50),Monthly Stay (8-30 nights),High Availability (>180 days),No Reviews,Large Scale (>20),Tidak Ada Review,,14406,0,Large Scale Host (>20),Low Performer,Budget Struggling,"17,8"
21627938,Unbelievable male room Manhattan for lngterm! III,39528519,Max,Manhattan,Lower East Side,"40,71021","-73,98863",Shared room,29,100,0,,0,28,341,Budget (≤$50),Long Stay (>30 nights),High Availability (>180 days),No Reviews,Large Scale (>20),Tidak Ada Review,,9889,0,Large Scale Host (>20),Low Performer,Budget Struggling,"17,8"
5538410,Home 4 Medical Professionals-Dwnst8,26377263,Stat,Brooklyn,East Flatbush,"40,65546","-73,94619",Private room,45,30,0,,0,43,361,Budget (≤$50),Monthly Stay (8-30 nights),High Availability (>180 days),No Reviews,Large Scale (>20),Tidak Ada Review,,16245,0,Large Scale Host (>20),Low Performer,Budget Struggling,"17,8"
5866656,Home 4 Medical Professionals-MAIM0,26377263,Stat,Brooklyn,Borough Park,"40,64032","-73,99728",Private room,50,30,0,,0,43,361,Budget (≤$50),Monthly Stay (8-30 nights),High Availability (>180 days),No Reviews,Large Scale (>20),Tidak Ada Review,,18050,0,Large Scale Host (>20),Low Performer,Budget Struggling,"17,8"
10138784,Room near LGA airport and 35 mins to Times Square,52031360,Cheer,Queens,Jackson Heights,"40,74953","-73,88025",Private room,46,3,137,05/07/2019,"3,21",1,286,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),High Activity (>3/month),Single Property,Sangat Lama (>1 tahun),2222,13156,"0,479",Single Property Host,High Performer,Budget Popular,"45,2"
10413576,Quiet home free ferry to Manhattan,53627900,Mahmood,Staten Island,New Brighton,"40,64465","-74,09272",Private room,50,1,149,01/07/2019,"3,7",1,276,Budget (≤$50),Short Stay (1 night),High Availability (>180 days),High Activity (>3/month),Single Property,Sangat Lama (>1 tahun),2226,13800,"0,5399",Single Property Host,High Performer,Budget Popular,"45,2"
29684573,Nice Cozy Room In Brooklyn On A Dead End Block,31039254,Sean,Brooklyn,East Flatbush,"40,64843","-73,93549",Private room,45,1,8,07/07/2019,5,1,334,Budget (≤$50),Short Stay (1 night),High Availability (>180 days),High Activity (>3/month),Single Property,Sangat Lama (>1 tahun),2220,15030,"0,024",Single Property Host,High Performer,Budget Popular,"17,8"
35257081,Private Room in Manhattan 15 min. from Midtown!,265424495,Benat,Manhattan,Harlem,"40,80486","-73,94754",Private room,50,1,7,30/06/2019,"5,83",2,267,Budget (≤$50),Short Stay (1 night),High Availability (>180 days),High Activity (>3/month),Small Scale (2-5),Sangat Lama (>1 tahun),2227,13350,"0,0262",Small Scale Host (2-5),High Performer,Budget Popular,"45,2"
18173787,Cute Tiny Room Family Home by LGA NO CLEANING FEE,26432133,Danielle,Queens,East Elmhurst,"40,7638","-73,87238",Private room,48,1,436,08/07/2019,"16,03",5,337,Budget (≤$50),Short Stay (1 night),High Availability (>180 days),High Activity (>3/month),Small Scale (2-5),Sangat Lama (>1 tahun),2219,16176,"1,2938",Small Scale Host (2-5),High Performer,Budget Popular,"17,8"
31090222,6 Minutes From JFK Airport Cozy Bedroom,232251881,Lakshmee,Queens,Jamaica,"40,668","-73,78477",Private room,30,1,98,26/06/2019,"15,23",8,189,Budget (≤$50),Short Stay (1 night),High Availability (>180 days),High Activity (>3/month),Medium Scale (6-20),Sangat Lama (>1 tahun),2231,5670,"0,5185",Medium Scale Host (6-20),High Performer,Budget Popular,"72,6"
22069581,Luxury Private room located in Fresh Meadows,137858241,Holyfield,Queens,Flushing,"40,73067","-73,80691",Private room,45,1,9,05/07/2019,"0,48",1,328,Budget (≤$50),Short Stay (1 night),High Availability (>180 days),Low Activity (≤1/month),Single Property,Sangat Lama (>1 tahun),2222,14760,"0,0274",Single Property Host,Average Performer,Budget Struggling,"17,8"
8624104,Large and Sunny Private Room near Prospect Park,45293333,Melody,Brooklyn,Flatbush,"40,65336","-73,95305",Private room,45,2,3,01/05/2019,"0,69",1,249,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Low Activity (≤1/month),Single Property,Sangat Lama (>1 tahun),2287,11205,"0,012",Single Property Host,Average Performer,Budget Struggling,"45,2"
1148978,1 BR 1/2 block to A/B/C/D trains,6298986,Marcelo,Manhattan,Washington Heights,"40,83307","-73,93957",Private room,48,14,46,17/05/2019,"0,62",1,287,Budget (≤$50),Monthly Stay (8-30 nights),High Availability (>180 days),Low Activity (≤1/month),Single Property,Sangat Lama (>1 tahun),2271,13776,"0,1603",Single Property Host,Average Performer,Budget Struggling,"45,2"
21295834,Pre-war apartment,122920689,Peter,Brooklyn,East Flatbush,"40,653","-73,95079",Private room,43,4,1,21/02/2018,"0,06",1,312,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Low Activity (≤1/month),Single Property,Sangat Lama (>1 tahun),2721,13416,"0,0032",Single Property Host,Average Performer,Budget Struggling,"17,8"
15854548,Great Brooklyn location next to subway and cafes,1939376,Audrey,Brooklyn,Clinton Hill,"40,68866","-73,96147",Private room,48,20,24,01/05/2019,"0,78",1,304,Budget (≤$50),Monthly Stay (8-30 nights),High Availability (>180 days),Low Activity (≤1/month),Single Property,Sangat Lama (>1 tahun),2287,14592,"0,0789",Single Property Host,Average Performer,Budget Struggling,"17,8"
32865017,Quiet Private Room in Heart of Jamaica smoke ok!,141645843,Gedan,Queens,Jamaica,"40,681","-73,79592",Private room,33,1,3,23/05/2019,"0,74",2,189,Budget (≤$50),Short Stay (1 night),High Availability (>180 days),Low Activity (≤1/month),Small Scale (2-5),Sangat Lama (>1 tahun),2265,6237,"0,0159",Small Scale Host (2-5),Average Performer,Budget Struggling,"72,6"
11199645,Cozy Minimalist Room in Brooklyn,22123619,Antoine,Brooklyn,Crown Heights,"40,67502","-73,9178",Private room,43,3,10,21/10/2018,"0,25",2,305,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Low Activity (≤1/month),Small Scale (2-5),Sangat Lama (>1 tahun),2479,13115,"0,0328",Small Scale Host (2-5),Average Performer,Budget Struggling,"17,8"
29983505,Private Bedroom in Bushwick artist house,155923396,Kelly,Brooklyn,Bushwick,"40,70113","-73,92893",Private room,45,3,4,16/02/2019,"0,56",3,276,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Low Activity (≤1/month),Small Scale (2-5),Sangat Lama (>1 tahun),2361,12420,"0,0145",Small Scale Host (2-5),Average Performer,Budget Struggling,"45,2"
1818420,Budget Friendly & Spacious,9522524,Nancy,Brooklyn,Canarsie,"40,64738","-73,89163",Private room,37,5,54,03/07/2019,"0,78",5,353,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Low Activity (≤1/month),Small Scale (2-5),Sangat Lama (>1 tahun),2224,13061,"0,153",Small Scale Host (2-5),Average Performer,Budget Struggling,"17,8"
7090512,"Bedroom #4, Basement level, Park, express Q train",2478675,Gina,Brooklyn,Flatbush,"40,6541","-73,95814",Private room,38,1,41,30/06/2019,"0,87",5,335,Budget (≤$50),Short Stay (1 night),High Availability (>180 days),Low Activity (≤1/month),Small Scale (2-5),Sangat Lama (>1 tahun),2227,12730,"0,1224",Small Scale Host (2-5),Average Performer,Budget Struggling,"17,8"
1089619,"Bright, Huge Room in 3 Bedroom Apt.",5986790,Gen,Manhattan,Washington Heights,"40,83535","-73,94334",Private room,40,7,26,25/06/2019,"0,67",6,272,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Low Activity (≤1/month),Medium Scale (6-20),Sangat Lama (>1 tahun),2232,10880,"0,0956",Medium Scale Host (6-20),Average Performer,Budget Struggling,"45,2"
28660257,Gorgeous Bedroom in the heart of Bushwick Him-3R-3,216235179,Nina,Brooklyn,Bushwick,"40,70161","-73,91922",Private room,50,30,1,01/07/2019,1,17,184,Budget (≤$50),Monthly Stay (8-30 nights),High Availability (>180 days),Low Activity (≤1/month),Medium Scale (6-20),Sangat Lama (>1 tahun),2226,9200,"0,0054",Medium Scale Host (6-20),Good Performer,Budget Popular,"72,6"
30377718,Sunny Stuyvesant Private Bedroom Madison 1R-4,226410657,Nina,Brooklyn,Bedford-Stuyvesant,"40,68595","-73,93109",Private room,42,30,2,13/02/2019,"0,33",27,345,Budget (≤$50),Monthly Stay (8-30 nights),High Availability (>180 days),Low Activity (≤1/month),Large Scale (>20),Sangat Lama (>1 tahun),2364,14490,"0,0058",Large Scale Host (>20),Average Performer,Budget Struggling,"17,8"
25051166,NEAR COLUMBIA PRESBYTERIAN HOSP- Students*Visitors,25237492,Juliana,Manhattan,Washington Heights,"40,84115","-73,94095",Private room,50,30,2,06/02/2019,"0,17",34,311,Budget (≤$50),Monthly Stay (8-30 nights),High Availability (>180 days),Low Activity (≤1/month),Large Scale (>20),Sangat Lama (>1 tahun),2371,15550,"0,0064",Large Scale Host (>20),Average Performer,Budget Struggling,"17,8"
6718257,"Home 4 Medical Professionals - The ""Clinomania""",26377263,Stat,Brooklyn,East Flatbush,"40,66079","-73,9342",Private room,48,30,2,22/09/2018,"0,06",43,249,Budget (≤$50),Monthly Stay (8-30 nights),High Availability (>180 days),Low Activity (≤1/month),Large Scale (>20),Sangat Lama (>1 tahun),2508,11952,"0,008",Large Scale Host (>20),Average Performer,Budget Struggling,"45,2"
8651887,Cool and cozy room in the Heights,45471621,Sean,Manhattan,Washington Heights,"40,85041","-73,92645",Private room,50,3,122,28/06/2019,"2,68",1,199,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Medium Activity (1-3/month),Single Property,Sangat Lama (>1 tahun),2229,9950,"0,6131",Single Property Host,High Performer,Budget Popular,"72,6"
278090,Furnished room for rent - Manhattan,1451723,Bia,Manhattan,East Harlem,"40,7928","-73,93967",Private room,50,3,208,11/06/2019,"2,32",1,339,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Medium Activity (1-3/month),Single Property,Sangat Lama (>1 tahun),2246,16950,"0,6136",Single Property Host,High Performer,Budget Popular,"17,8"
33584724,Comfy’s Bedroom Close Subway,120763629,Mei,Brooklyn,Bath Beach,"40,60615","-74,00315",Private room,49,2,3,26/04/2019,"1,05",2,347,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Medium Activity (1-3/month),Small Scale (2-5),Sangat Lama (>1 tahun),2292,17003,"0,0086",Small Scale Host (2-5),Good Performer,Budget Popular,"17,8"
21677335,Comfy Crash Pad - 25 mins to Manhattan,28290772,Anushua,Queens,Astoria,"40,76848","-73,90768",Private room,43,2,42,14/06/2019,"2,09",2,340,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Medium Activity (1-3/month),Small Scale (2-5),Sangat Lama (>1 tahun),2243,14620,"0,1235",Small Scale Host (2-5),High Performer,Budget Popular,"17,8"
35563781,"FLATBUSH PLACE TO COME AND GO  
1 out of 2 listing",267223765,Jarmel,Brooklyn,Flatbush,"40,64936","-73,96061",Private room,50,1,2,01/07/2019,2,3,342,Budget (≤$50),Short Stay (1 night),High Availability (>180 days),Medium Activity (1-3/month),Small Scale (2-5),Sangat Lama (>1 tahun),2226,17100,"0,0058",Small Scale Host (2-5),High Performer,Budget Popular,"17,8"
34411020,Super Spacious room in Brooklyn,259427246,Nelly,Brooklyn,Bedford-Stuyvesant,"40,6788","-73,92722",Private room,43,1,4,10/06/2019,2,3,343,Budget (≤$50),Short Stay (1 night),High Availability (>180 days),Medium Activity (1-3/month),Small Scale (2-5),Sangat Lama (>1 tahun),2247,14749,"0,0117",Small Scale Host (2-5),High Performer,Budget Popular,"17,8"
15943090,(2)Comfy Home Away From Home/Multiple Rooms!!!,88043058,Pamela,Brooklyn,Bedford-Stuyvesant,"40,68969","-73,95402",Private room,45,1,45,23/06/2019,"1,47",4,361,Budget (≤$50),Short Stay (1 night),High Availability (>180 days),Medium Activity (1-3/month),Small Scale (2-5),Sangat Lama (>1 tahun),2234,16245,"0,1247",Small Scale Host (2-5),Good Performer,Budget Popular,"17,8"
16334686,Cozy with Great location !!!!,43719073,Nora,Brooklyn,Sheepshead Bay,"40,59813","-73,95432",Shared room,37,1,47,23/06/2019,"1,58",5,354,Budget (≤$50),Short Stay (1 night),High Availability (>180 days),Medium Activity (1-3/month),Small Scale (2-5),Sangat Lama (>1 tahun),2234,13098,"0,1328",Small Scale Host (2-5),Good Performer,Budget Popular,"17,8"
33926057,ONLY WOMEN/CAMAS PARA MUJER/HABITACIÓN COMPARTIDA,223087887,Jess & Ana,Queens,Corona,"40,74116","-73,86667",Shared room,24,1,4,04/05/2019,"1,52",8,346,Budget (≤$50),Short Stay (1 night),High Availability (>180 days),Medium Activity (1-3/month),Medium Scale (6-20),Sangat Lama (>1 tahun),2284,8304,"0,0116",Medium Scale Host (6-20),Good Performer,Budget Popular,"17,8"
29906233,BRONX SUNNY CLEAN ROOM,224874182,Norman,Bronx,Parkchester,"40,83872","-73,87149",Shared room,45,7,0,,0,1,280,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),No Reviews,Single Property,Tidak Ada Review,,12600,0,Single Property Host,Low Performer,Budget Struggling,"45,2"
30496651,Sunny Bedroom in Magical Ditmas Park,10358835,Nathalie,Brooklyn,Flatbush,"40,63895","-73,96619",Private room,49,7,0,,0,1,362,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),No Reviews,Single Property,Tidak Ada Review,,17738,0,Single Property Host,Low Performer,Budget Struggling,"17,8"
33071843,habitacion amplia y privada a 20 min de manhattan,195657353,Carolina,Brooklyn,Bushwick,"40,70005","-73,91295",Private room,42,2,0,,0,2,311,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),No Reviews,Small Scale (2-5),Tidak Ada Review,,13062,0,Small Scale Host (2-5),Low Performer,Budget Struggling,"17,8"
35640594,!!Renovated shared room in great neighborhood!!,268122129,Sergii,Brooklyn,Williamsburg,"40,70087","-73,94075",Shared room,35,30,0,,0,5,341,Budget (≤$50),Monthly Stay (8-30 nights),High Availability (>180 days),No Reviews,Small Scale (2-5),Tidak Ada Review,,11935,0,Small Scale Host (2-5),Low Performer,Budget Struggling,"17,8"
